          49          63          65          71          73
          86          88          90         110         112
         110         112         114         120         122
         180         194         196         202         204
         217         219         221         241         243
         241         243         245         251         253
         311         325         327         333         335
         348         350         352         372         374
         372         374         376         382         384
         442         456         458         464         466
         479         481         483         503         505
         503         505         507         513         515
         573         587         589         595         597
         610         612         614         634         636
         634         636         638         644         646
         704         718         720         726         728
         741         743         745         765         767
         765         767         769         775         777
         835         849         851         857         859
         872         874         876         896         898
         896         898         900         906         908
         971         985         987         993         995
        1008        1010        1012        1032        1034
        1032        1034        1036        1042        1044
